Handle,Title,Body (HTML),Product Category,Type,Tags,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aldridge-bed,,,,,,,Queen,,,,,,,,FM7243GY-Q-BED,90345.98395,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-2_d2c73bec-7d69-486d-b28b-ad4332761587.jpg?v=1771827648,2,ALDRIDGE Bed,,,,,lb,,499,
aldridge-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-leg_6191ccf5-5d33-4df6-8892-4371e5efd29a.jpg?v=1771827647,3,ALDRIDGE Bed,,,,,,,,
aldridge-dresser,ALDRIDGE Dresser,"<p>FREE SHIPPING<br>
ALDRIDGE Dresser brings a Contemporary look to your home with a refined, comfortable feel. This bedroom dresser is made to fit naturally into the room. The Solid Rubberwood, Engineered Wood, Other construction is complemented by Light Gray tones for a polished look.<br>
Product Dimensions: 62.5"" W x 17.5""D x 37"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 255.2 lbs</p>",,Bedroom,"ALDRIDGE, Bedroom, Dresser, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7243GY-D,115756.9996,shopify,20,deny,manual,1260,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-D-1_b25e953c-87c3-4827-a5e5-83c875be0855.jpg?v=1771827647,1,ALDRIDGE Dresser,FALSE,ALDRIDGE Dresser in Light Gray | GOODDEGG,The ALDRIDGE Dresser adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,510,active
aldridge-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-1-Z_1b0a86b3-5a4b-481f-a61e-b861ae66b5ac.jpg?v=1771827647,2,ALDRIDGE Dresser,,,,,,,,
aldridge-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-leg_5aa70aa5-1c3f-4486-b77f-591b1ff17551.jpg?v=1771827647,3,ALDRIDGE Dresser,,,,,,,,
aldridge-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-D-2_8b721f66-a9a5-4f7e-913d-3682bba80dc4.jpg?v=1771827647,4,ALDRIDGE Dresser,,,,,,,,
aldridge-chest,ALDRIDGE Chest,"<p>FREE SHIPPING<br>
Make the room feel complete with ALDRIDGE Chest and its Contemporary character. As a bedroom chest, it is designed to complement your space. Finished in Light Gray tones, the Solid Rubberwood, Engineered Wood, Other build balances durability with visual appeal.<br>
Product Dimensions: 39"" W x 17.5""D x 52"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 225.97 lbs</p>",,Bedroom,"ALDRIDGE, Bedroom, Chest, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7243GY-C,102497.9957,shopify,20,deny,manual,1017,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-C-1_af206639-acfe-4f35-93e4-4228237a1bc9.jpg?v=1771827646,1,ALDRIDGE Chest,FALSE,ALDRIDGE Chest in Light Gray | GOODDEGG,The ALDRIDGE Chest adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,419,active
aldridge-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-1-Z_9db40341-f73c-4bcd-ade5-73953182097d.jpg?v=1771827647,2,ALDRIDGE Chest,,,,,,,,
aldridge-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7243GY-leg_8e393711-b61e-49d6-b52f-f59a505879b6.jpg?v=1771827646,3,ALDRIDGE Chest,,,,,,,,
aldgate-nightstand,ALDGATE Nightstand,"<p>FREE SHIPPING<br>
Elevate your space with ALDGATE Nightstand, styled in Contemporary and designed for everyday comfort. This bedroom nightstand is made to fit naturally into the room. With Solid Rubberwood, Engineered Wood, Other and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 28.5"" W x 15.5""D x 22"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 90.2 lbs</p>",,Bedroom,"ALDGATE, Bedroom, Furniture of America, Indoor Furniture, New Arrival, Nightstand, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7244GY-N,40913.98641,shopify,20,deny,manual,540,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-N-1_7f0efe6e-96c5-4a51-af0c-2a485160577f.jpg?v=1771827646,1,ALDGATE Nightstand,FALSE,ALDGATE Nightstand in Light Gray | GOODDEGG,The ALDGATE Nightstand keeps bedside essentials organized and within reach. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,210,active
aldgate-nightstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-1-Z_14793231-c2e8-484a-b438-b014d6c296ee.jpg?v=1771827645,2,ALDGATE Nightstand,,,,,,,,
aldgate-bed,ALDGATE Bed,"<p>FREE SHIPPING<br>
Make the room feel complete with ALDGATE Bed and its Contemporary character. Built as a bedroom bed, it pairs well with a wide range of interiors. Finished in Light Gray tones, the Fabric, Solid Rubberwood, Engineered Wood, Other build balances durability with visual appeal.<br>
Product Dimensions: 79"" W x 92""D x 61.5"" H<br>
Size: Eastern King<br>
Features<br>
- Foundation required</p>

<p>Materials:Fabric, Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 247.76 lbs</p>",,Bedroom,"ALDGATE, Bed, Bedroom, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Size,E.King,,,,,,,,FM7244GY-EK-BED,112382.0002,shopify,0,deny,manual,1497,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-1-Z_917cca26-6f0f-4c3a-830c-3e9a1fa7cb6a.jpg?v=1771827644,1,ALDGATE Bed,FALSE,Aldgate Bed Eastern King in Light Gray | GOODDEGG,The ALDGATE Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,569,active
aldgate-bed,,,,,,,Queen,,,,,,,,FM7244GY-Q-BED,96464.99038,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-2_830c72c8-75ae-4918-b493-3c1651b0dc40.jpg?v=1771827645,2,ALDGATE Bed,,,,,lb,,499,
aldgate-dresser,ALDGATE Dresser,"<p>FREE SHIPPING<br>
ALDGATE Dresser adds a Contemporary touch while keeping the room feeling warm and welcoming. This bedroom dresser is made to fit naturally into the room. Crafted from Solid Rubberwood, Engineered Wood, Other, it is finished in Light Gray tones that pair easily with surrounding decor.<br>
Product Dimensions: 62.5"" W x 18""D x 34"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 261.02 lbs</p>",,Bedroom,"ALDGATE, Bedroom, Dresser, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7244GY-D,118396.9979,shopify,20,deny,manual,1290,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-D-1_e8a04c86-4587-433f-9ab5-e5837fa30160.jpg?v=1771827644,1,ALDGATE Dresser,FALSE,ALDGATE Dresser in Light Gray | GOODDEGG,The ALDGATE Dresser adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,520,active
aldgate-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-1-Z_9590018d-26b8-41e0-aadf-1d318a24a029.jpg?v=1771827644,2,ALDGATE Dresser,,,,,,,,
aldgate-dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-D-2_b2dc6755-c2f3-4c2c-b1c8-186d82f08f7a.jpg?v=1771827644,3,ALDGATE Dresser,,,,,,,,
aldgate-chest,ALDGATE Chest,"<p>FREE SHIPPING<br>
Elevate your space with ALDGATE Chest, styled in Contemporary and designed for everyday comfort. As a bedroom chest, it is designed to complement your space. With Solid Rubberwood, Engineered Wood, Other and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 39"" W x 18""D x 49"" H</p>

<p>Bonus storage &amp; convenience features (from matching set pieces):</p>

<p>Felt-Lined Top Drawer<br>
French Front &amp; English Back Dovetail Drawers</p>

<p>Materials:Solid Rubberwood, Engineered Wood, Other<br>
Color:Light Gray<br>
Weight: 224.87 lbs</p>",,Bedroom,"ALDGATE, Bedroom, Chest, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Title,Default Title,,,,,,,,FM7244GY-C,101998.9987,shopify,20,deny,manual,957,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-1-Z_cf532391-100e-45c2-a01c-3d6d21180c7c.jpg?v=1771827643,1,ALDGATE Chest,FALSE,ALDGATE Chest in Light Gray | GOODDEGG,The ALDGATE Chest adds storage to keep clothing and essentials organized. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,419,active
aldgate-chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM7244GY-C-1_b2f1d2e2-8149-4543-bb34-8d37760d5d2a.jpg?v=1771827643,2,ALDGATE Chest,,,,,,,,
alcoba-accent-chair,ALCOBA Accent Chair,"<p>FREE SHIPPING<br>
Make the room feel complete with ALCOBA Accent Chair and its Contemporary character. This accent chair is made to fit naturally into the room. Finished in Mushroom tones, the Fabric, Foam, Wood build balances durability with visual appeal.<br>
Product Dimensions: 25"" W x 26""D x 28.5"" H (SEAT HT: 18"", SEAT DP: 22"")</p>

<p>Materials:Fabric, Foam, Wood</p>",,Accent,"Accent, ALCOBA, Chair, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture",Color,Mushroom,,,,,,,,FM-AC8019LB,0,shopify,20,deny,manual,477,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-AC8019LB-1_07bd5284-89c4-4396-93d6-0e6da046b07b.jpg?v=1771827642,1,ALCOBA Accent Chair,FALSE,ALCOBA Accent Chair in Mushroom | GOODDEGG,The ALCOBA Accent Chair adds comfortable seating and style to your space. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,199,active
alcoba-accent-chair,,,,,,,Taupe,,,,,,,,FM-AC8019TP,0,shopify,20,deny,manual,477,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-AC8019TP-1_e4ed350f-ee19-47de-a859-c159ea22f1aa.jpg?v=1771827642,2,ALCOBA Accent Chair,,,,,lb,,199,
alcester-sectional-w-sleeper,ALCESTER Sectional w/ Sleeper,"<p>FREE SHIPPING<br>
Elevate your space with ALCESTER Sectional w/ Sleeper, styled in Contemporary and designed for everyday comfort. Built as a upholstery sectional, it pairs well with a wide range of interiors. With Faux Nubuck, Solid Wood, Others and Graphite tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 112 3 or 4"" L x 65"" W x 40"" H<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Faux Nubuck, Solid Wood<br>
Weight: 307.8 lbs</p>",,Upholstery,"ALCESTER, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Sectional, Upholstery",Color,Graphite,,,,,,,,CM6908BK-SET,139616.0036,shopify,20,deny,manual,2067,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BK_55832d68-402c-4f99-94ba-5f80abf0ba40.jpg?v=1771827642,1,ALCESTER Sectional w/ Sleeper,FALSE,ALCESTER Sectional w/ Sleeper in Graphite | GOODDEGG,The ALCESTER Sectional w/ Sleeper offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,849,active
alcester-sectional-w-sleeper,,,,,,,Brown,,,,,,,,CM6908BR-SET,123739.9985,shopify,20,deny,manual,2067,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-Z_4cb314ce-ebb9-4e71-ba6b-c6254d56eed6.jpg?v=1771827642,2,ALCESTER Sectional w/ Sleeper,,,,,lb,,849,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BK-pullout_4483cb6e-d382-47b2-9c72-b849fe4202f4.jpg?v=1771827642,3,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BK-detail4_fbaf2bc6-4591-41ea-9516-a22425a21ecd.jpg?v=1771827642,4,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-3_448eed4e-b4a3-4be3-814e-7924c1717f29.jpg?v=1771827641,5,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-STORAGE_c3d04e71-f1bb-4aea-8ab8-e7b1317f4e62.jpg?v=1771827642,6,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-FABRIC_f7cd02bd-af60-47ff-a39f-75369d994afc.jpg?v=1771827642,7,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-2_1715bdf0-28a0-44fb-9f10-a0d2c1cb50d4.jpg?v=1771827642,8,ALCESTER Sectional w/ Sleeper,,,,,,,,
alcester-sectional-w-sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/CM6908BR-4_d4f98f68-19f1-47b8-ac4f-91255b1de397.jpg?v=1771827642,9,ALCESTER Sectional w/ Sleeper,,,,,,,,
albano-twin-bunk-bed,ALBANO Twin Bunk Bed,"<p>FREE SHIPPING<br>
ALBANO  or Twin Bunk Bed brings a Transitional look to your home with a refined, comfortable feel. This youth bed is made to fit naturally into the room. The Solid Hardwood, Engineered Wood construction is complemented by White tones for a polished look.<br>
Product Dimensions: 45.5"" W x 81""D x 80.5"" H<br>
Size: Twin</p>

<p>Materials:Solid Hardwood, Engineered Wood<br>
Color:White<br>
Weight: 81.8 lbs</p>",,Youth,"ALBANO, Bed, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,FM-BK107WH-T-BED,37103.99194,shopify,20,deny,manual,837,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-BK107WH-T-1_551d0b9b-f078-45df-85ea-90d83c2431d2.jpg?v=1771827640,1,ALBANO Twin Bunk Bed,FALSE,ALBANO  or Twin Bunk Bed Twin in White | GOODDEGG,The ALBANO or Bunk Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,319,active
albano-full-bunk-bed,ALBANO Full Bunk Bed,"<p>FREE SHIPPING<br>
Make the room feel complete with ALBANO  or Full Bunk Bed and its Transitional character. As a youth bed, it is designed to complement your space. Finished in White tones, the Solid Hardwood, Engineered Wood build balances durability with visual appeal.<br>
Product Dimensions: 61"" W x 81""D x 70.5"" H<br>
Size: Twin</p>

<p>Materials:Solid Hardwood, Engineered Wood<br>
Color:White<br>
Weight: 226.19 lbs</p>",,Youth,"ALBANO, Bed, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,FM-BK107WH-F-BED,102598.0128,shopify,20,deny,manual,957,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM-BK107WH-T-1_304b2627-1f4a-4847-9c8e-14a877d5d4ee.jpg?v=1771827640,1,ALBANO Full Bunk Bed,FALSE,ALBANO  or Full Bunk Bed Twin in White | GOODDEGG,The ALBANO or Bunk Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,369,active
albani-twin-bunk-bed,ALBANI Twin Bunk Bed,"<p>FREE SHIPPING<br>
ALBANI  or Twin Bunk Bed adds a Rustic touch while keeping the room feeling warm and welcoming. Built as a youth bunk bed, it pairs well with a wide range of interiors. Crafted from Solid Wood, Others, it is finished in White tones that pair easily with surrounding decor.<br>
Product Dimensions: 82"" W x 45""D x 63"" H<br>
Size: Twin<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Solid Wood<br>
Color:White<br>
Weight: 182 lbs</p>",,Youth,"ALBANI, Bunk Bed, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Youth",Title,Default Title,,,,,,,,AM-BK302WH-BED,82553.99278,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/AM-BK302WH-1_a4e2d6ee-5444-4988-b94c-4bd908ca7a0f.jpg?v=1771827640,1,ALBANI Twin Bunk Bed,FALSE,ALBANI  or Twin Bunk Bed Twin in White | GOODDEGG,The ALBANI or Bunk Bed creates a restful centerpiece for the bedroom. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,499,active
albacete-sofa,ALBACETE Sofa,"<p>FREE SHIPPING<br>
ALBACETE Sofa brings a Traditional look to your home with a refined, comfortable feel. As a upholstery sofa, it is designed to complement your space. The Velvet, Solid Wood, Others construction is complemented by Dark Cherry  or  Brown tones for a polished look.<br>
Product Dimensions: 94.5"" x 48.25"" x 38.5""<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Velvet, Solid Wood<br>
Weight: 231 lbs</p>",,Upholstery,"ALBACETE, Furniture of America, Indoor Furniture, New Arrival, Quick Ship Furniture, Sofa, Upholstery",Color,Dark Cherry/Brown,,,,,,,,FM65006BR-SF,104780.0189,shopify,20,deny,manual,2697,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-SF-1_f701b483-719b-4a45-9812-d98d473b498b.jpg?v=1771827638,1,ALBACETE Sofa,FALSE,Albacete Sofa in Dark Cherry  or  Brown | GOODDEGG,The ALBACETE Sofa offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,1059,active
albacete-sofa,,,,,,,Champagne/Purple,,,,,,,,FM65006PR-SF,108271.9998,shopify,20,deny,manual,2697,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-SF-1_936f7149-aaae-45af-aa1c-8153dde7e4c6.jpg?v=1771827638,2,ALBACETE Sofa,,,,,lb,,1059,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-1-Z_8fb96933-9c77-4871-b4f4-6b4e4e25e26f.jpg?v=1771827638,3,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-2_0e658d70-4a49-4165-9653-4502c7e96ffb.jpg?v=1771827638,4,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-3_7054a379-596d-478d-83e4-f89c61f03f0e.jpg?v=1771827638,5,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-4_a89bfa73-e8cc-4f27-9e8f-29d25cdb4b69.jpg?v=1771827638,6,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-5_fece825a-0c76-4d2d-a278-01ccf6684d4b.jpg?v=1771827638,7,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-6_d2d61cb4-1d56-4d15-a7aa-b7d7444cb207.jpg?v=1771827639,8,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-1-Z_27db0123-0ef7-4c7c-afbd-1ed23e1c3d9e.jpg?v=1771827638,9,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-2_908d6f89-214e-47b6-a216-5598ead3088c.jpg?v=1771827638,10,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-3_fcfd8761-1d30-4d66-8d52-9843795a60ee.jpg?v=1771827638,11,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-4_d1e1bcba-a790-4f00-af21-6cce6111c8cc.jpg?v=1771827638,12,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-5_f239df54-77c3-4460-ac15-b61051e7d7c6.jpg?v=1771827638,13,ALBACETE Sofa,,,,,,,,
albacete-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-6_0738d466-5c1c-4255-9e58-3b3a1c6c12fc.jpg?v=1771827638,14,ALBACETE Sofa,,,,,,,,
albacete-loveseat,ALBACETE Loveseat,"<p>FREE SHIPPING<br>
ALBACETE Loveseat adds a Traditional touch while keeping the room feeling warm and welcoming. This upholstery loveseat is made to fit naturally into the room. Crafted from Velvet, Solid Wood, Others, it is finished in Dark Cherry  or  Brown tones that pair easily with surrounding decor.<br>
Product Dimensions: 69.5"" x 48.25"" x 38.5""<br>
Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials:Velvet, Solid Wood<br>
Weight: 189.2 lbs</p>",,Upholstery,"ALBACETE, Furniture of America, Indoor Furniture, Loveseat, New Arrival, Quick Ship Furniture, Upholstery",Color,Dark Cherry/Brown,,,,,,,,FM65006BR-LV,85819.99392,shopify,20,deny,manual,2070,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-LV-1_f143ec28-0fe6-40c0-b506-a4826ce9626b.jpg?v=1771827638,1,ALBACETE Loveseat,FALSE,ALBACETE Loveseat in Dark Cherry  or  Brown | GOODDEGG,The ALBACETE Loveseat offers relaxed seating for everyday lounging. Shop at GOODDEGG for a great selection and guaranteed lowest prices.,,lb,,790,active
albacete-loveseat,,,,,,,Champagne/Purple,,,,,,,,FM65006PR-LV,86817.98785,shopify,20,deny,manual,2070,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-LV-1_7a094e7e-1fc4-408b-9362-f89a9e691cf4.jpg?v=1771827637,2,ALBACETE Loveseat,,,,,lb,,790,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-1-Z_09aee702-f9a9-4231-afad-f6dd7d209d17.jpg?v=1771827637,3,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-2_39b7ddca-ede8-4713-9556-a64237c5c2a7.jpg?v=1771827637,4,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-3_179eb694-455d-4cd2-b980-e15d7b16eaaa.jpg?v=1771827637,5,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-4_5260d9cc-371f-44b2-b407-073864e4f31f.jpg?v=1771827638,6,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-5_8b20bdbe-0149-4f41-af0d-087940ba5c7d.jpg?v=1771827637,7,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006BR-6_ba698643-9b49-402a-995e-9a9a9eab6d33.jpg?v=1771827638,8,ALBACETE Loveseat,,,,,,,,
albacete-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM65006PR-1-Z_12c7834f-b21d-40a5-8917-ef8fa554221f.jpg?v=1771827637,9,ALBACETE Loveseat,,,,,,,,
