Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
coreopsis-12-memory-foam-wave-comfort-mattress-white,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
Sleep easy with COREOPSIS 12"" Memory Foam Wave Comfort, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Inner Cover: Cotton Scrim Fabric construction keeps you comfortable, finished in White tones.
Product Dimensions: 76""W X 80""D X 12""H
Size: Eastern King
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 83.6 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,E.King,,,DM612-EK,37920,shopify,20,deny,manual,259,837,TRUE,FALSE,,,,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 12"" Memory Foam Wave Comfort | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM612-EK,new,TRUE,,g,,259,,,,,,,active
coreopsis-12-memory-foam-wave-comfort-mattress-white,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
COREOPSIS 12"" Memory Foam Wave Comfort offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Inner Cover: Cotton Scrim Fabric, it is finished in White tones and made for lasting comfort.
Product Dimensions: 54""W X 75""D X 12""H
Size: Full
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 57.86 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Full,,,DM612-F,26245,shopify,20,deny,manual,239,567,TRUE,FALSE,,,,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 12"" Memory Foam Wave Comfort Full | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM612-F,new,TRUE,,g,,239,,,,,,,active
coreopsis-12-memory-foam-wave-comfort-mattress-white,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
COREOPSIS 12"" Memory Foam Wave Comfort is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Inner Cover: Cotton Scrim Fabric, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 60""W X 80""D X 12""H
Size: Queen
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 69.08 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Queen,,,DM612-Q,31334,shopify,20,deny,manual,279,657,TRUE,FALSE,,,,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 12"" Memory Foam Wave Comfort | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM612-Q,new,TRUE,,g,,279,,,,,,,active
coreopsis-12-memory-foam-wave-comfort-mattress-white,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
Sleep easy with COREOPSIS 12"" Memory Foam Wave Comfort, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Inner Cover: Cotton Scrim Fabric construction keeps you comfortable, finished in White tones.
Product Dimensions: 39""W X 75""D X 12""H
Size: Twin
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 43.32 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Twin,,,DM612-T,19650,shopify,20,deny,manual,179,417,TRUE,FALSE,,,,"COREOPSIS 12"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 12"" Memory Foam Wave Comfort Twin | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM612-T,new,TRUE,,g,,179,,,,,,,active
coreopsis-8-memory-foam-wave-comfort-mattress-white,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
COREOPSIS 8"" Memory Foam Wave Comfort offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Inner Cover: Cotton Scrim Fabric, it is finished in White tones and made for lasting comfort.
Product Dimensions: 76""W X 80""D X 8""H
Size: Eastern King
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 57.11 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,E.King,,,DM608-EK,25905,shopify,20,deny,manual,259,597,TRUE,FALSE,,,,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 8"" Memory Foam Wave Comfort | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM608-EK,new,TRUE,,g,,259,,,,,,,active
coreopsis-8-memory-foam-wave-comfort-mattress-white,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
COREOPSIS 8"" Memory Foam Wave Comfort is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Inner Cover: Cotton Scrim Fabric, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 54""W X 75""D X 8""H
Size: Full
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 39.31 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Full,,,DM608-F,17831,shopify,20,deny,manual,179,417,TRUE,FALSE,,,,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 8"" Memory Foam Wave Comfort Full | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM608-F,new,TRUE,,g,,179,,,,,,,active
coreopsis-8-memory-foam-wave-comfort-mattress-white,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
Sleep easy with COREOPSIS 8"" Memory Foam Wave Comfort, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Inner Cover: Cotton Scrim Fabric construction keeps you comfortable, finished in White tones.
Product Dimensions: 60""W X 80""D X 8""H
Size: Queen
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 47.96 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Queen,,,DM608-Q,21754,shopify,20,deny,manual,199,477,TRUE,FALSE,,,,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 8"" Memory Foam Wave Comfort Queen | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM608-Q,new,TRUE,,g,,199,,,,,,,active
coreopsis-8-memory-foam-wave-comfort-mattress-white,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress","FREE SHIPPING
COREOPSIS 8"" Memory Foam Wave Comfort offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Inner Cover: Cotton Scrim Fabric, it is finished in White tones and made for lasting comfort.
Product Dimensions: 39""W X 75""D X 8""H
Size: Twin
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Materials: Inner Cover: Cotton Scrim Fabric.
Color: White
Weight: 30.84 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, COREOPSIS",TRUE,Color,White,Size,Twin,,,DM608-T,13989,shopify,20,deny,manual,139,327,TRUE,FALSE,,,,"COREOPSIS 8"" Memory Foam Wave Comfort Mattress",FALSE,"COREOPSIS 8"" Memory Foam Wave Comfort Twin | GOODDEGG","COREOPSIS Memory Foam Wave Comfort supports deeper, more comfortable. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM608-T,new,TRUE,,g,,139,,,,,,,active
daisy-6-bunkie-board-combo-mattress-white,"DAISY 6"" Bunkie Board Combo Mattress","FREE SHIPPING
DAISY 6"" Bunkie Board Combo Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from 3-Layer Quilting, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 75""L X 54""W X 6""H
Size: Full
Materials: 3-Layer Quilting.
Color: White
Weight: 50 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Full,,,DM-Combo-F-6,22680,shopify,20,deny,manual,169,417,TRUE,FALSE,,,,"DAISY 6"" Bunkie Board Combo Mattress",FALSE,"DAISY 6"" Bunkie Board Combo Mattress Full in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-F-6,new,TRUE,,g,,169,,,,,,,active
daisy-6-bunkie-board-combo-mattress-white,"DAISY 6"" Bunkie Board Combo Mattress","FREE SHIPPING
Sleep easy with DAISY 6"" Bunkie Board Combo Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. The 3-Layer Quilting construction keeps you comfortable, finished in White tones.
Product Dimensions: 75""L X 39""W X 6""H
Size: Twin
Materials: 3-Layer Quilting.
Color: White
Weight: 40 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Twin,,,DM-Combo-T-6,18144,shopify,20,deny,manual,129,297,TRUE,FALSE,,,,"DAISY 6"" Bunkie Board Combo Mattress",FALSE,"DAISY 6"" Bunkie Board Combo Mattress Twin in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-T-6,new,TRUE,,g,,129,,,,,,,active
daisy-6-bunkie-board-combo-mattress-white,"DAISY 6"" Bunkie Board Combo Mattress","FREE SHIPPING
DAISY 6"" Bunkie Board Combo Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in White tones for a clean, cohesive look.
Product Dimensions: 80""L X 39""W X 6""H
Size: Twin XL
Color: White
Weight: 50 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Twin XL,,,DM-Combo-T-XL-6,22680,shopify,20,deny,manual,169,417,TRUE,FALSE,,,,"DAISY 6"" Bunkie Board Combo Mattress",FALSE,"DAISY 6"" Bunkie Board Combo Mattress Twin XL in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-T-XL-6,new,TRUE,,g,,169,,,,,,,active
daisy-8-bunkie-board-combo-mattress-white,"DAISY 8"" Bunkie Board Combo Mattress","FREE SHIPPING
DAISY 8"" Bunkie Board Combo Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from 3-Layer Quilting, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 75""L X 54""W X 8""H
Size: Full
Materials: 3-Layer Quilting.
Color: White
Weight: 65 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Full,,,DM-Combo-F-8,29484,shopify,20,deny,manual,199,447,TRUE,FALSE,,,,"DAISY 8"" Bunkie Board Combo Mattress",FALSE,"DAISY 8"" Bunkie Board Combo Mattress Full in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-F-8,new,TRUE,,g,,199,,,,,,,active
daisy-8-bunkie-board-combo-mattress-white,"DAISY 8"" Bunkie Board Combo Mattress","FREE SHIPPING
Sleep easy with DAISY 8"" Bunkie Board Combo Mattress, designed to deliver comfort and steady support night after night. Its Mattress design keeps the look clean and inviting. Finished in White tones for a clean, cohesive look.
Product Dimensions: 80""L X 54""W X 8""H
Size: Full
Color: White
Weight: 70 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Full,,,DM-Combo-F-XL-8,31751,shopify,20,deny,manual,219,507,TRUE,FALSE,,,,"DAISY 8"" Bunkie Board Combo Mattress",FALSE,"DAISY 8"" Bunkie Board Combo Mattress Full in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-F-XL-8,new,TRUE,,g,,219,,,,,,,active
daisy-8-bunkie-board-combo-mattress-white,"DAISY 8"" Bunkie Board Combo Mattress","FREE SHIPPING
DAISY 8"" Bunkie Board Combo Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Crafted with 3-Layer Quilting, it is finished in White tones and made for lasting comfort.
Product Dimensions: 80""L X 60""W X 8""H
Size: Queen
Materials: 3-Layer Quilting.
Color: White
Weight: 75 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Queen,,,DM-Combo-Q-8,34019,shopify,20,deny,manual,219,507,TRUE,FALSE,,,,"DAISY 8"" Bunkie Board Combo Mattress",FALSE,"DAISY 8"" Bunkie Board Combo Mattress Queen in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-Q-8,new,TRUE,,g,,219,,,,,,,active
daisy-8-bunkie-board-combo-mattress-white,"DAISY 8"" Bunkie Board Combo Mattress","FREE SHIPPING
DAISY 8"" Bunkie Board Combo Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Mattress design keeps the look clean and inviting. Built from 3-Layer Quilting, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 75""L X 39""W X 8""H
Size: Twin
Materials: 3-Layer Quilting.
Color: White
Weight: 50 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DAISY",TRUE,Color,White,Size,Twin,,,DM-Combo-T-8,22680,shopify,20,deny,manual,139,327,TRUE,FALSE,,,,"DAISY 8"" Bunkie Board Combo Mattress",FALSE,"DAISY 8"" Bunkie Board Combo Mattress Twin in White | GOODDEGG","DAISY Bunkie Board Combo Mattress supports deeper, more comfortable sleep night after. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-Combo-T-8,new,TRUE,,g,,139,,,,,,,active
derry-4-size-memory-foam-trundle-mattress-white,"DERRY 4"" Size Memory Foam Trundle Mattress","FREE SHIPPING
DERRY 4"" Size Memory Foam Trundle Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Mattress design keeps the look clean and inviting. Finished in White tones for a clean, cohesive look.
Product Dimensions: 75""L X 38""W X 4""H
Size: Twin
Features
- Cooling gel infusion for a fresher sleep
- Memory foam comfort layer
Color: White
Weight: 20 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, DERRY",TRUE,Color,White,Size,Twin,,,DM-TR04,9072,shopify,20,deny,manual,125,297,TRUE,FALSE,,,,"DERRY 4"" Size Memory Foam Trundle Mattress",FALSE,"DERRY 4"" Size Memory Foam Trundle Mattress Twin in White | GOODDEGG","DERRY Size Memory Foam Trundle Mattress supports deeper, more comfortable sleep night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM-TR04,new,TRUE,,g,,125,,,,,,,active
edelweiss-10-memory-foam-mattress-white,"EDELWEISS 10"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 10"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 72""W X 84""D X 12""H
Size: California King
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 59 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Cal.King,,,DM2010-CK,26762,shopify,20,deny,manual,259,777,TRUE,FALSE,,,,"EDELWEISS 10"" Memory Foam Mattress",FALSE,"EDELWEISS 10"" Memory Foam Mattress California King in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2010-CK,new,TRUE,,g,,259,,,,,,,active
edelweiss-10-memory-foam-mattress-white,"EDELWEISS 10"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with EDELWEISS 10"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7 construction keeps you comfortable, finished in White tones.
Product Dimensions: 76""L X 80""W X 10""H
Size: Eastern King
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 59 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,E.King,,,DM2010-EK,26762,shopify,20,deny,manual,249,747,TRUE,FALSE,,,,"EDELWEISS 10"" Memory Foam Mattress",FALSE,"EDELWEISS 10"" Memory Foam Mattress Eastern King in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2010-EK,new,TRUE,,g,,249,,,,,,,active
edelweiss-10-memory-foam-mattress-white,"EDELWEISS 10"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 10"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it is finished in White tones and made for lasting comfort.
Product Dimensions: 54""L X 75""W X 10""H
Size: Full
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 40 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Full,,,DM2010-F,18144,shopify,20,deny,manual,169,507,TRUE,FALSE,,,,"EDELWEISS 10"" Memory Foam Mattress",FALSE,"EDELWEISS 10"" Memory Foam Mattress Full in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2010-F,new,TRUE,,g,,169,,,,,,,active
edelweiss-10-memory-foam-mattress-white,"EDELWEISS 10"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 10"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 60""L X 80""W X 10""H
Size: Queen
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 47 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Queen,,,DM2010-Q,21319,shopify,20,deny,manual,209,627,TRUE,FALSE,,,,"EDELWEISS 10"" Memory Foam Mattress",FALSE,"EDELWEISS 10"" Memory Foam Mattress Queen in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2010-Q,new,TRUE,,g,,209,,,,,,,active
edelweiss-12-memory-foam-mattress-white,"EDELWEISS 12"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with EDELWEISS 12"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7 construction keeps you comfortable, finished in White tones.
Product Dimensions: 72""W X 84""D X 12""H
Size: California King
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 118 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Cal.King,,,DM2012-CK,53524,shopify,20,deny,manual,329,987,TRUE,FALSE,,,,"EDELWEISS 12"" Memory Foam Mattress",FALSE,"EDELWEISS 12"" Memory Foam Mattress California King in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2012-CK,new,TRUE,,g,,329,,,,,,,active
edelweiss-12-memory-foam-mattress-white,"EDELWEISS 12"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 12"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it is finished in White tones and made for lasting comfort.
Product Dimensions: 76""L X 80""L X 12""H
Size: Eastern King
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 72 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,E.King,,,DM2012-EK,32659,shopify,20,deny,manual,319,957,TRUE,FALSE,,,,"EDELWEISS 12"" Memory Foam Mattress",FALSE,"EDELWEISS 12"" Memory Foam Mattress Eastern King in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2012-EK,new,TRUE,,g,,319,,,,,,,active
edelweiss-12-memory-foam-mattress-white,"EDELWEISS 12"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 12"" Memory Foam Mattress is built to support deeper, more restful sleep with a comfortable, balanced feel. Its Contemporary design keeps the look clean and inviting. Built from Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it brings a reliable, comfortable feel with White tones.
Product Dimensions: 54""L X 75""W X 12""H
Size: Full
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 49 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Full,,,DM2012-F,22226,shopify,20,deny,manual,209,627,TRUE,FALSE,,,,"EDELWEISS 12"" Memory Foam Mattress",FALSE,"EDELWEISS 12"" Memory Foam Mattress Full in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2012-F,new,TRUE,,g,,209,,,,,,,active
edelweiss-12-memory-foam-mattress-white,"EDELWEISS 12"" Memory Foam Mattress","FREE SHIPPING
Sleep easy with EDELWEISS 12"" Memory Foam Mattress, designed to deliver comfort and steady support night after night. Its Contemporary design keeps the look clean and inviting. The Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7 construction keeps you comfortable, finished in White tones.
Product Dimensions: 60""L X 80""W X 12""H
Size: Queen
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 57 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Queen,,,DM2012-Q,25855,shopify,20,deny,manual,249,747,TRUE,FALSE,,,,"EDELWEISS 12"" Memory Foam Mattress",FALSE,"EDELWEISS 12"" Memory Foam Mattress Queen in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2012-Q,new,TRUE,,g,,249,,,,,,,active
edelweiss-6-memory-foam-mattress-white,"EDELWEISS 6"" Memory Foam Mattress","FREE SHIPPING
EDELWEISS 6"" Memory Foam Mattress offers a cozy, supportive sleep surface made for everyday comfort. Its Contemporary design keeps the look clean and inviting. Crafted with Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7, it is finished in White tones and made for lasting comfort.
Product Dimensions: 54""L X 75""W X 6""H
Size: Full
Features
- Memory foam comfort layer
Materials: Safety: CFR 1633 & CFR 1632, CAN CGG SB 4.5-27.7.
Color: White
Weight: 24 lbs",Furniture of America,,Mattress,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, Mattress, EDELWEISS",TRUE,Color,White,Size,Full,,,DM2006-F,10886,shopify,20,deny,manual,109,327,TRUE,FALSE,,,,"EDELWEISS 6"" Memory Foam Mattress",FALSE,"EDELWEISS 6"" Memory Foam Mattress Full in White | GOODDEGG","EDELWEISS Memory Foam Mattress supports deeper, more comfortable sleep night after night. Shop at GOODDEGG for a great selection and guaranteed lowest prices.",,,,DM2006-F,new,TRUE,,g,,109,,,,,,,active
